id,level,swedish_sentence,english_sentence,missing_word,word_bank,hint,topic
1,easy,"Hej, jag heter __.","Hi, my name is Anna.",Anna,Anna|kaffe|tack|vatten,It is a common name.,greetings
2,easy,"En __, tack.","A coffee, please.",kaffe,kaffe|te|öl|mjölk,Sweden's favorite morning drink.,cafe
3,easy,"Tack __ mycket.","Thank you very much.",så,så|nu|bra|här,Connects 'Tack' and 'mycket'.,politeness
4,easy,"Var ligger __?","Where is the toilet?",toaletten,toaletten|banken|parken|skolan,Used for restrooms.,travel
5,easy,"Jag vill ha __.","I want water.",vatten,vatten|bröd|notan|glass,Basic drink.,cafe
6,easy,"God __!","Good morning!",morgon,morgon|natt|dag|kväll,Start of the day.,greetings
7,easy,"__ så mycket!","Thank you so much!",Tack,Tack|Hej|Nej|Ja,Polite word.,politeness
8,easy,"Vi ses __.","See you later.",senare,senare|idag|nu|alltid,Later time.,greetings
9,easy,"Vad __ du?","What are you doing?",gör,gör|heter|bor|äter,Active question.,basics
10,easy,"Jag älskar __.","I love you.",dig,dig|mig|det|oss,Romantic phrase.,feelings
11,easy,"Huset är __.","The house is red.",rött,rött|blått|gult|vitt,Iconic Swedish color.,basics
12,easy,"Ett glas __, tack.","A glass of wine, please.",vin,vin|öl|mjölk|juice,Evening drink.,cafe
13,easy,"Vart är __ på väg?","Where is the bus going?",bussen,bussen|tåget|bilen|båten,Public transport.,travel
14,easy,"Jag är __.","I am hungry.",hungrig,hungrig|trött|glad|ledsen,Needs food.,feelings
15,easy,"__ det regnar!","How it rains!",Vad,Vad|Vem|När|Var,Weather complaint.,weather
16,easy,"Talar du __?","Do you speak English?",engelska,engelska|svenska|tyska|franska,For tourists.,basics
17,easy,"__ så hemskt mycket.","Thank you ever so much.",Tack,Tack|Hej|Vi|Du,Formal politeness.,politeness
18,easy,"Smaklig __!","Enjoy your meal!",måltid,måltid|dryck|fika|glass,Before eating.,cafe
19,easy,"Jag __ glass.","I eat ice cream.",äter,äter|dricker|ser|går,Consuming food.,basics
20,easy,"Här är __.","Here is the menu.",menyn,menyn|notan|bussen|tåget,Ordering food.,cafe
21,easy,"Vad __ klockan?","What time is it?",är,är|gör|bor|ser,Asking time.,basics
22,easy,"Solen __.","The sun is shining.",skiner,skiner|regnar|snöar|blåser,Nice weather.,weather
23,easy,"Välkommen __.","Welcome home.",hem,hem|här|där|ut,Arriving.,greetings
24,easy,"En glass __.","An ice cream please.",tack,tack|hej|ja|nej,Ordering.,cafe
25,easy,"Jag är __.","I am tired.",trött,trött|glad|hungrig|arg,Feeling sleepy.,feelings
26,easy,"Bilen är __.","The car is blue.",blå,blå|röd|gul|grön,Colors.,basics
27,easy,"Vi har __.","We have a dog.",hund,hund|katt|häst|fågel,Pets.,home
